clstr,num_organisms,organism_list
36,3,Bacteroides-sp-1-1-6-MAF-2; Clostridium-sp-L2-50-MAF-1; Bacteroides-thetaiotaomicron-VPI-5482-MAF-2
26,3,Bacteroides-sp-9-1-42FAA-MAF-2; Bacteroides-dorei-5-1-36-MAF-2; Bacteroides-dorei-DSM-17855-MAF-2
38,3,Parabacteroides-distasonis-ATCC-8503; Parabacteroides-sp-D13-MAF-2; Bacteroides-sp-3-1-19-MAF-2
31,2,Bacteroides-sp-D2-MAF-2; Bacteroides-ovatus-ATCC-8483-MAF-2
29,2,Bacteroides-sp-2-1-22-MAF-2; Bacteroides-fragilis-3-1-12-MAF-2
56,2,Bifidobacterium-catenulatum-DSM-16992; Bifidobacterium-pseudocatenulatum-DSM-20438
53,2,Butyricimonas-virosa-DSM-23226-MAF-2; Intestinimonas-butyriciproducens-DSM-26588-MAF-2
52,2,Butyricimonas-virosa-DSM-23226-MAF-2; Intestinimonas-butyriciproducens-DSM-26588-MAF-2
82,1,Clostridium-leptum-DSM-753
79,1,Clostridiales-bacterium-VE202-27-MAF-1
80,1,Clostridium-asparagiforme-DSM-15981-MAF-2
81,1,Clostridium-hathewayi-DSM-13479-MAF-NJ35
83,1,Clostridium-methylpentosum-DSM-5476
77,1,Butyrivibrio-crossotus-DSM-2876-MAF-2
84,1,Clostridium-nexile-DSM-1787-MAF-2
85,1,Clostridium-saccharolyticum-WM1
78,1,Clostridiales-bacterium-VE202-14
75,1,Blautia-wexlerae-DSM-19850-MAF-2
76,1,Bryantella-formatexigens-DSM-14469-MAF-2
87,1,Clostridium-sp-ATCC-29733-VPI-C48-50-MAF-1
74,1,Blautia-sp-KLE-1732-HM-1032-MAF-2
73,1,Blautia-hydrogenotrophica-DSM-10507-MAF-2
72,1,Blautia-hansenii-DSM-20583-MAF-2
71,1,Bacteroides-pectinophilus-ATCC-43243-MAF-2
70,1,Anaerofustis-stercorihominis-DSM-17244
69,1,Subdoligranulum-variabile-DSM-15176-MAF-2
68,1,Slackia-heliotrinireducens-DSM-20476
67,1,Ruminococcus-bromii-ATCC-27255
66,1,Collinsella-aerofaciens-ATCC-25986
65,1,Clostridium-bolteae-ATCC-BAA-613-MAF-2
64,1,Clostridium-bartlettii-DSM-16795-MAF-2
86,1,Clostridium-scindens-ATCC-35704-MAF-2
0,1,Bilophila-wadsworthia-ATCC-49260
62,1,Roseburia-intestinalis-L1-82-MAF-2
102,1,Faecalibacterium-prausnitzii-A2-165
114,1,Clostridium-bartlettii-DSM-16795-MAF-2
113,1,Clostridium-bartlettii-DSM-16795-MAF-2
112,1,Anaerotruncus-colihominis-DSM-17241-MAF-2
111,1,Adlercreutzia-equolifaciens-DSM-19450
110,1,Subdoligranulum-sp-4-3-54A2FAA-MAF-1
109,1,Slackia-exigua-ATCC-700122-MAF-1
108,1,Ruminococcus-torques-ATCC-27756-MAF-2
107,1,Ruminococcus-obeum-ATCC-29174-MAF-2
106,1,Ruminococcus-lactaris-ATCC-29176-MAF-2
105,1,Ruminococcus-gnavus-ATCC-29149-MAF-NJ26
104,1,Ruminococcus-gauvreauii-DSM-19829-MAF-2
103,1,Ruminococcus-albus-strain-8-MAF-1
101,1,Eubacterium-ventriosum-ATCC-27560-MAF-2
88,1,Clostridium-sp-L2-50-MAF-1
100,1,Eubacterium-siraeum-DSM-15702-MAF-2
99,1,Eubacterium-rectale-ATCC-33656
98,1,Eubacterium-hallii-DSM-3353
97,1,Eubacterium-eligens-ATCC-27750-MAF-2
96,1,Eggerthella-lenta-DSM-2243
95,1,Dorea-longicatena-DSM-13814-MAF-2
94,1,Dorea-formicigenerans-ATCC-27755-MAF-2
93,1,Coprococcus-eutactus-ATCC-27759-MAF-2
92,1,Coprococcus-comes-ATCC-27758-MAF-2
91,1,Collinsella-stercoris-DSM-13279-MAF-2
90,1,Clostridium-sporogenes-ATCC-15579-MAF-1
89,1,Clostridium-sp-M62-1-MAF-2
63,1,Anaerostipes-caccae-DSM-14662-MAF-2
58,1,Olsenella-uli-DSM-7084
61,1,Oscillibacter-sp-KLE-1728-MAF-1
27,1,Bacteroides-eggerthii-DSM-20697-MAF-2
24,1,Bacteroides-cellulosilyticus-DSM-14838-MAF-2
23,1,Bacteroides-caccae-ATCC-43185-MAF-2
22,1,Alistipes-shahii-WAL-8301-DSM-19121-MAF-2
21,1,Alistipes-senegalensis-JC50-DSM-25460-MAF-2
20,1,Alistipes-putredinis-DSM-17216-MAF-2
19,1,Alistipes-onderdonkii-DSM-19147-MAF-2
18,1,Alistipes-indistinctus-YIT-12060-DSM-22520-MAF-2
17,1,Alistipes-ihumii-AP11-MAF-2
16,1,Alistipes-finegoldii-DSM-17242
15,1,Bacteroides-coprophilus-DSM-18228-MAF-2
14,1,Holdemania-filiformis-DSM-12042
13,1,Eubacterium-dolichum-DSM-3991
12,1,Eubacterium-biforme-DSM-3989
11,1,Clostridium-spiroforme-DSM-1552-MAF-2
10,1,Catenibacterium-mitsuokai-MAF-DSM-15897
9,1,Veillonella-dispar-ATCC-17748-MAF-1
8,1,Streptococcus-thermophilus-MAF-ATCC-19258
7,1,Mitsuokella-multacida-DSM-20544-MAF-2
6,1,Mitsuokella-multacida-DSM-20544-MAF-2
5,1,Lactobacillus-ruminis-ATCC-25644-MAF-2
4,1,Granulicatella-adiacens-ATCC-49175-MAF-2
3,1,Burkholderiales-bacterium-1-1-47
2,1,Acidaminococcus-sp-D21-MAF-2
25,1,Bacteroides-coprocola-DSM-17136
28,1,Bacteroides-finegoldii-DSM-17565-MAF-2
60,1,Ethanoligens-harbinense-YUAN-3
30,1,Bacteroides-intestinalis-DSM-17393-MAF-2
59,1,Clostridiales-bacterium-VE202-03
1,1,Acidaminococcus-fermentans-DSM-20731
57,1,Akkermansia-muciniphila-ATCC-BAA-835
55,1,Bifidobacterium-breve-DSM-20213
54,1,Odoribacter-splanchnicus-DSM-20712
51,1,Prevotella-copri-DSM-18205-MAF-2
50,1,Prevotella-copri-DSM-18205-MAF-2
49,1,Prevotella-buccalis-ATCC-35310-MAF-2
48,1,Prevotella-buccae-D17-MAF-1
47,1,Parabacteroides-merdae-ATCC-43184-MAF-2
46,1,Parabacteroides-johnsonii-DSM-18315-MAF-2
45,1,Parabacteroides-distasonis-ATCC-8503
44,1,Bacteroides-vulgatus-ATCC-8482
43,1,Bacteroides-vulgatus-ATCC-8482
42,1,Bacteroides-uniformis-ATCC-8492-MAF-2
41,1,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2
40,1,Bacteroides-stercoris-ATCC-43183-MAF-2
39,1,Bacteroides-sp-D2-MAF-2
37,1,Bacteroides-sp-2-1-16-MAF-2
35,1,Bacteroides-rodentium-DSM-26882-MAF-2
34,1,Bacteroides-plebeius-DSM-17135-MAF-2
33,1,Bacteroides-plebeius-DSM-17135-MAF-2
32,1,Bacteroides-ovatus-ATCC-8483-MAF-2
115,1,Clostridium-bartlettii-DSM-16795-MAF-2
